unix,low,high,open,close,volume,date,vol_fiat
1592697600,2.5728,2.625,2.6158,2.5858,577502.79,2020-06-21,1493306.714382
1592611200,2.5202,2.6582,2.62,2.6164,1433010.71,2020-06-20,3749329.221644
1592524800,2.6046,2.7173,2.6582,2.62,1612844.66,2020-06-19,4225653.0092
1592438400,2.5605,2.7799,2.682,2.6581,3247815.24,2020-06-18,8633017.689444002
1592352000,2.55,2.694,2.6178,2.6764,1349362.26,2020-06-17,3611433.152664
1592265600,2.5622,2.6744,2.6356,2.6178,1530144.38,2020-06-16,4005611.9579639994
1592179200,2.43,2.6849,2.5846,2.6371,2780205.8,2020-06-15,7331680.71518
1592092800,2.5501,2.7018,2.6996,2.5852,890369.6,2020-06-14,2301783.48992
1592006400,2.6415,2.7262,2.6705,2.6962,1049386.33,2020-06-13,2829355.4229460005
1591920000,2.5881,2.7618,2.6162,2.6704,2101783.0,2020-06-12,5612601.3231999995
1591833600,2.5,2.908,2.8861,2.6133,4277615.02,2020-06-11,11178691.331766
1591747200,2.8528,2.9324,2.9077,2.8891,1716194.81,2020-06-10,4958258.425571
1591660800,2.8711,2.9639,2.9511,2.9062,1247604.28,2020-06-09,3625787.558536
1591574400,2.8623,2.9626,2.8889,2.9485,1271966.49,2020-06-08,3750393.1957650003
1591488000,2.8132,2.9396,2.924,2.889,1470906.49,2020-06-07,4249448.84961
1591401600,2.903,2.9715,2.9341,2.9243,836216.48,2020-06-06,2445347.852464
1591315200,2.91,3.0218,2.9962,2.9354,1262353.38,2020-06-05,3705512.111652
1591228800,2.9021,3.08,3.0427,2.9984,2158797.64,2020-06-04,6472938.843776001
1591142400,2.84,3.0666,2.8977,3.0424,2116792.08,2020-06-03,6440128.224192001
1591056000,2.7,3.1294,2.966,2.9013,4771618.98,2020-06-02,13843898.146674002
1590969600,2.78,2.9987,2.8033,2.9637,2233617.39,2020-06-01,6619771.858743
1590883200,2.7611,2.96,2.9213,2.8068,2523208.42,2020-05-31,7082141.393255999
1590796800,2.8147,2.965,2.8749,2.9232,2442428.21,2020-05-30,7139706.143472
1590710400,2.7979,2.9,2.8278,2.8726,1723185.31,2020-05-29,4950022.121506
1590624000,2.681,2.8498,2.7099,2.8298,1662260.58,2020-05-28,4703864.989284
1590537600,2.6812,2.765,2.6939,2.7109,962140.16,2020-05-27,2608265.759744
1590451200,2.6503,2.7596,2.7338,2.6986,1363170.6,2020-05-26,3678652.18116
1590364800,2.6289,2.7467,2.6438,2.736,1309252.62,2020-05-25,3582115.1683200006
1590278400,2.6432,2.83,2.7569,2.6432,1486429.39,2020-05-24,3928930.163648
1590192000,2.7252,2.8342,2.7986,2.7552,1264015.26,2020-05-23,3482614.844352
1590105600,2.6,2.8614,2.6431,2.7978,3058424.86,2020-05-22,8556861.073308
